SSR_ID,Patient,Compartment, ,
SRR25680487_ti,P01,ti, ,
SRR25680478_cf,P01,cf,,
SRR25680460_exo,P01,exo,,
SRR25680486_ti,P02,ti,,
SRR25680477_cf,P02,cf,,
SRR25680459_exo,P02,exo,,
SRR25680475_ti,P03,ti,,
SRR25680476_cf,P03,cf,,
SRR25680458_exo,P03,exo,,
SRR25680464_ti,P04,ti,,
SRR25680474_cf,P04,cf,,
SRR25680457_exo,P04,exo,,
SRR25680453_ti,P05,ti,,
SRR25680473_cf,P05,cf,,
SRR25680456_exo,P05,exo,,
SRR25680442_ti,P06,ti,,
SRR25680472_cf,P06,cf,,
SRR25680455_exo,P06,exo,,
SRR25680431_ti,P07,ti,,
SRR25680471_cf,P07,cf,,
SRR25680454_exo,P07,exo,,
SRR25680420_ti,P08,ti,,
SRR25680470_cf,P08,cf,,
SRR25680452_exo,P08,exo,,
SRR25680409_ti,P09,ti,,
SRR25680469_cf,P09,cf,,
SRR25680451_exo,P09,exo,,
SRR25680400_ti,P10,ti,,
SRR25680468_cf,P10,cf,,
SRR25680450_exo,P10,exo,,
SRR25680485_ti,P11,ti,,
SRR25680467_cf,P11,cf,,
SRR25680449_exo,P11,exo,,
SRR25680484_ti,P12,ti,,
SRR25680466_cf,P12,cf,,
SRR25680448_exo,P12,exo,,
SRR25680483_ti,P13,ti,,
SRR25680465_cf,P13,cf,,
SRR25680447_exo,P13,exo,,
SRR25680480_ti,P14,ti,,
SRR25680462_cf,P14,cf,,
SRR25680445_exo,P14,exo,,
SRR25680479_ti,P15,ti,,
SRR25680461_cf,P15,cf,,
SRR25680444_exo,P15,exo,,